ID,Título,Entidade,Data de abertura,Última atualização,Status,Prioridade,Requerente - Requerente,Atribuído - Técnico,Categoria,Unnamed: 10,descricao
19 299,Interruptor,Entidade raiz,2026-04-09 14:01,2026-04-09 14:55,Em atendimento (atribuído),Baixa,Requerente_001,,INFRA,,"No início da manhã, foi identificado que interruptor, e foi necessário suporte técnico para resolução."
18 853,[SERVIÇOS GERAIS] Limpeza de calhas,Entidade raiz,2026-01-12 08:19,2026-04-09 13:55,Em atendimento (atribuído),Baixa,Requerente_002,,INFRA,,"O chamado foi aberto após constatar que [serviços gerais] limpeza de calhas, e foi necessário suporte técnico para resolução."
19 282,Cadeira quebrada no Lab. [SALA],Entidade raiz,2026-04-07 10:04,2026-04-09 13:54,Em atendimento (atribuído),Baixa,Requerente_003,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que cadeira quebrada no lab. [sala], e o problema impactou diretamente suas tarefas diárias."
19 169,Material suporte cabo de rede,Entidade raiz,2026-03-18 08:25,2026-04-09 13:53,Em atendimento (atribuído),Média,Requerente_004,Atribuído_001,INFRA+TI,,"O chamado foi aberto após constatar que material suporte cabo de rede, e o problema impactou diretamente suas tarefas diárias."
19 278,Cadeira [SALA],Entidade raiz,2026-04-06 10:42,2026-04-09 13:51,Em atendimento (atribuído),Média,Requerente_005,,INFRA,,"O chamado foi aberto após constatar que cadeira [sala], e a situação causou atraso nas atividades planejadas."
19 283,Saboneteira quebrada.,Entidade raiz,2026-04-07 10:10,2026-04-09 13:51,Em atendimento (atribuído),Baixa,Requerente_002,,INFRA,,"Durante o expediente, o usuário relatou que saboneteira quebrada., e foi necessário suporte técnico para resolução."
19 285,Ausência de água em banheiro do ginásio.,Entidade raiz,2026-04-07 13:43,2026-04-09 13:50,Em atendimento (atribuído),Baixa,Requerente_002,,INFRA,,"No início da manhã, foi identificado que ausência de água em banheiro do ginásio., e a situação causou atraso nas atividades planejadas."
19 287,Saboneiras nos banheiros,Entidade raiz,2026-04-08 07:35,2026-04-09 13:50,Em atendimento (atribuído),Baixa,Requerente_002,,INFRA,,"Durante o expediente, o usuário relatou que saboneiras nos banheiros, e o incidente ocorreu de forma inesperada."
19 289,Goteiras - [PESSOA],Entidade raiz,2026-04-08 10:03,2026-04-09 13:49,Em atendimento (atribuído),Baixa,Requerente_006,,INFRA,,"No início da manhã, foi identificado que goteiras - [pessoa], e a situação causou atraso nas atividades planejadas."
19 231,Cadeiras quebradas,Entidade raiz,2026-03-27 15:46,2026-04-09 13:49,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"No início da manhã, foi identificado que cadeiras quebradas, e o problema impactou diretamente suas tarefas diárias."
19 290,Armário com problema na porta - [SALA] [SALA],Entidade raiz,2026-04-08 15:01,2026-04-09 13:49,Em atendimento (atribuído),Média,Requerente_008,,INFRA,,"No início da manhã, foi identificado que armário com problema na porta - [sala] [sala], e o incidente ocorreu de forma inesperada."
19 292,Conserto cadeira - encosto,Entidade raiz,2026-04-08 15:05,2026-04-09 13:49,Em atendimento (atribuído),Média,Requerente_008,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que conserto cadeira - encosto, e foi necessário suporte técnico para resolução."
19 296,Solicitação de mudança de móveis na [SALA],Entidade raiz,2026-04-09 10:26,2026-04-09 13:49,Em atendimento (atribuído),Baixa,Requerente_009,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que solicitação de mudança de móveis na [sala], e a situação causou atraso nas atividades planejadas."
19 297,Manutenção do projetor da [SALA],Entidade raiz,2026-04-09 10:50,2026-04-09 13:48,Em atendimento (atribuído),Baixa,Requerente_010,,INFRA+TI,,"O chamado foi aberto após constatar que manutenção do projetor da [sala], e o problema impactou diretamente suas tarefas diárias."
19 111,Cadeira gabinete 5 professores,Entidade raiz,2026-03-04 15:28,2026-04-09 13:47,Em atendimento (atribuído),Média,Requerente_008,,INFRA,,"Em um atendimento recente, verificou-se que cadeira gabinete 5 professores, e o problema impactou diretamente suas tarefas diárias."
19 029,[SERVIÇOS GERAIS][PESSOA],Entidade raiz,2026-02-23 14:55,2026-04-09 13:46,Em atendimento (atribuído),Média,Requerente_011,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que [serviços gerais][pessoa], e o problema impactou diretamente suas tarefas diárias."
18 712,[PESSOA]- construção de uma caixa de realidade aumentada,Entidade raiz,2025-11-14 15:38,2026-04-09 13:45,Em atendimento (atribuído),Média,Requerente_012,Atribuído_002,INFRA+TI,,"No início da manhã, foi identificado que [pessoa]- construção de uma caixa de realidade aumentada, e o incidente ocorreu de forma inesperada."
19 248,Vazamento vaso banheiro do ginásio,Entidade raiz,2026-03-30 15:43,2026-04-09 13:43,Em atendimento (atribuído),Alta,Requerente_007,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que vazamento vaso banheiro do ginásio, e foi necessário suporte técnico para resolução."
19 074,[SERVIÇOS GERAIS] Prendedor de porta,Entidade raiz,2026-03-02 08:41,2026-04-09 13:33,Pendente,Baixa,Requerente_007,,INFRA,,"No início da manhã, foi identificado que [serviços gerais] prendedor de porta, e o problema impactou diretamente suas tarefas diárias."
19 294,Criar uma imagem/avatar de um aluno especial,Entidade raiz,2026-04-09 07:28,2026-04-09 11:59,Em atendimento (atribuído),Média,Requerente_013,Atribuído_003,PROGRAMAÇÃO VISUAL,,"Em um atendimento recente, verificou-se que criar uma imagem/avatar de um aluno especial, e foi necessário suporte técnico para resolução."
19 298,Atualizar AP's Unifi,Entidade raiz,2026-04-09 11:38,2026-04-09 11:38,Em atendimento (atribuído),Média,Requerente_014,Atribuído_004,TI,,"No início da manhã, foi identificado que atualizar ap's unifi, e houve necessidade de intervenção da equipe de TI."
19 295,helpdesk.videira.ifc.edu.br não envia e-mail de recuperação de senha,Entidade raiz,2026-04-09 07:29,2026-04-09 09:14,Em atendimento (atribuído),Média,Requerente_013,Atribuído_004,TI,,"Durante o expediente, o usuário relatou que helpdesk.videira.ifc.edu.br não envia e-mail de recuperação de senha, e houve necessidade de intervenção da equipe de TI."
19 293,[PESSOA] - [PESSOA] do Trabalho,Entidade raiz,2026-04-08 18:45,2026-04-08 18:45,Em atendimento (atribuído),Média,Requerente_015,,INFRA,,"Em um atendimento recente, verificou-se que [pessoa] - [pessoa] do trabalho, e houve necessidade de intervenção da equipe de TI."
19 291,Ajuste do projetor,Entidade raiz,2026-04-08 15:04,2026-04-08 15:04,Em atendimento (atribuído),Média,Requerente_016,Atribuído_005,AUDIOVISUAL,,"No início da manhã, foi identificado que ajuste do projetor, e houve necessidade de intervenção da equipe de TI."
18 002,[ATIVO_REDE] Barracão,Entidade raiz,2025-06-12 08:12,2026-04-08 13:26,Em atendimento (atribuído),Baixa,Requerente_004,Atribuído_004,TI,,"O chamado foi aberto após constatar que [ativo_rede] barracão, e o incidente ocorreu de forma inesperada."
19 286,Cabo HDMI de projetor da [SALA],Entidade raiz,2026-04-08 00:26,2026-04-08 00:26,Em atendimento (atribuído),Alta,Requerente_017,Atribuído_005,AUDIOVISUAL+TI,,"No início da manhã, foi identificado que cabo hdmi de projetor da [sala], e a situação causou atraso nas atividades planejadas."
19 263,ajuda para realização da mesa de abertura e mesa temática  da 1ª AgroIFC,Entidade raiz,2026-04-01 09:29,2026-04-07 21:42,Em atendimento (atribuído),Alta,Requerente_018,Atribuído_005,EVENTOS + AUDIOVISUAL,,"Durante o expediente, o usuário relatou que ajuda para realização da mesa de abertura e mesa temática  da 1ª agroifc, e foi necessário suporte técnico para resolução."
9 151,Câmeras com o foco desajustado,Entidade raiz,2019-02-14 09:46,2026-04-07 13:06,Em atendimento (atribuído),Média,Requerente_014,Atribuído_006,INFRA+TI,,"Em um atendimento recente, verificou-se que câmeras com o foco desajustado, e o problema impactou diretamente suas tarefas diárias."
